algorithm,transformation,max_features,ngram_range,data_type,mean_balanced_accuracy,mean_recall
SVMR,tfidf,100,"(1, 1)",clean_steeming,0.5,0.0
SVML,tfidf,100,"(1, 1)",clean_steeming,0.94,0.9
LR1,tfidf,100,"(1, 1)",clean_steeming,0.89,0.78
LR2,tfidf,100,"(1, 1)",clean_steeming,0.9,0.81
RF,tfidf,100,"(1, 1)",clean_steeming,0.94,0.9
XGB,tfidf,100,"(1, 1)",clean_steeming,0.9,0.82
NB,tfidf,100,"(1, 1)",clean_lemmatization,0.84,0.93
SVMR,tfidf,100,"(1, 1)",clean_lemmatization,0.5,0.0
SVML,tfidf,100,"(1, 1)",clean_lemmatization,0.91,0.84
LR1,tfidf,100,"(1, 1)",clean_lemmatization,0.89,0.79
LR2,tfidf,100,"(1, 1)",clean_lemmatization,0.88,0.77
RF,tfidf,100,"(1, 1)",clean_lemmatization,0.93,0.89
XGB,tfidf,100,"(1, 1)",clean_lemmatization,0.9,0.82
NB,tfidf,100,"(1, 1)",clean_steeming_lemmatization,0.86,0.94
SVMR,tfidf,100,"(1, 1)",clean_steeming_lemmatization,0.5,0.0
SVML,tfidf,100,"(1, 1)",clean_steeming_lemmatization,0.93,0.87
LR1,tfidf,100,"(1, 1)",clean_steeming_lemmatization,0.88,0.77
LR2,tfidf,100,"(1, 1)",clean_steeming_lemmatization,0.9,0.8
RF,tfidf,100,"(1, 1)",clean_steeming_lemmatization,0.94,0.9
XGB,tfidf,100,"(1, 1)",clean_steeming_lemmatization,0.9,0.82
NB,tfidf,100,"(1, 2)",clean,0.82,0.94
SVMR,tfidf,100,"(1, 2)",clean,0.5,0.0
SVML,tfidf,100,"(1, 2)",clean,0.92,0.86
LR1,tfidf,100,"(1, 2)",clean,0.89,0.78
LR2,tfidf,100,"(1, 2)",clean,0.88,0.78
RF,tfidf,100,"(1, 2)",clean,0.94,0.91
XGB,tfidf,100,"(1, 2)",clean,0.88,0.78
NB,tfidf,100,"(1, 2)",clean_steeming,0.86,0.94
SVMR,tfidf,100,"(1, 2)",clean_steeming,0.5,0.0
SVML,tfidf,100,"(1, 2)",clean_steeming,0.94,0.9
LR1,tfidf,100,"(1, 2)",clean_steeming,0.89,0.79
LR2,tfidf,100,"(1, 2)",clean_steeming,0.9,0.81
RF,tfidf,100,"(1, 2)",clean_steeming,0.94,0.9
XGB,tfidf,100,"(1, 2)",clean_steeming,0.9,0.81
NB,tfidf,100,"(1, 2)",clean_lemmatization,0.83,0.95
SVMR,tfidf,100,"(1, 2)",clean_lemmatization,0.5,0.0
SVML,tfidf,100,"(1, 2)",clean_lemmatization,0.92,0.85
LR1,tfidf,100,"(1, 2)",clean_lemmatization,0.89,0.79
LR2,tfidf,100,"(1, 2)",clean_lemmatization,0.88,0.78
RF,tfidf,100,"(1, 2)",clean_lemmatization,0.94,0.9
XGB,tfidf,100,"(1, 2)",clean_lemmatization,0.9,0.81
NB,tfidf,100,"(1, 2)",clean_steeming_lemmatization,0.86,0.94
SVMR,tfidf,100,"(1, 2)",clean_steeming_lemmatization,0.5,0.0
SVML,tfidf,100,"(1, 2)",clean_steeming_lemmatization,0.93,0.88
LR1,tfidf,100,"(1, 2)",clean_steeming_lemmatization,0.88,0.77
LR2,tfidf,100,"(1, 2)",clean_steeming_lemmatization,0.9,0.8
RF,tfidf,100,"(1, 2)",clean_steeming_lemmatization,0.94,0.9
XGB,tfidf,100,"(1, 2)",clean_steeming_lemmatization,0.9,0.82
NB,tfidf,100,"(1, 3)",clean,0.81,0.94
SVMR,tfidf,100,"(1, 3)",clean,0.5,0.0
SVML,tfidf,100,"(1, 3)",clean,0.93,0.87
LR1,tfidf,100,"(1, 3)",clean,0.88,0.77
LR2,tfidf,100,"(1, 3)",clean,0.88,0.76
RF,tfidf,100,"(1, 3)",clean,0.93,0.89
XGB,tfidf,100,"(1, 3)",clean,0.88,0.77
NB,tfidf,100,"(1, 3)",clean_steeming,0.86,0.94
SVMR,tfidf,100,"(1, 3)",clean_steeming,0.5,0.0
SVML,tfidf,100,"(1, 3)",clean_steeming,0.94,0.89
LR1,tfidf,100,"(1, 3)",clean_steeming,0.89,0.79
LR2,tfidf,100,"(1, 3)",clean_steeming,0.9,0.81
RF,tfidf,100,"(1, 3)",clean_steeming,0.94,0.9
XGB,tfidf,100,"(1, 3)",clean_steeming,0.9,0.82
NB,tfidf,100,"(1, 3)",clean_lemmatization,0.83,0.95
SVMR,tfidf,100,"(1, 3)",clean_lemmatization,0.5,0.0
SVML,tfidf,100,"(1, 3)",clean_lemmatization,0.92,0.85
LR1,tfidf,100,"(1, 3)",clean_lemmatization,0.89,0.79
LR2,tfidf,100,"(1, 3)",clean_lemmatization,0.88,0.78
RF,tfidf,100,"(1, 3)",clean_lemmatization,0.94,0.9
XGB,tfidf,100,"(1, 3)",clean_lemmatization,0.9,0.81
NB,tfidf,100,"(1, 3)",clean_steeming_lemmatization,0.86,0.94
SVMR,tfidf,100,"(1, 3)",clean_steeming_lemmatization,0.5,0.0
SVML,tfidf,100,"(1, 3)",clean_steeming_lemmatization,0.93,0.88
LR1,tfidf,100,"(1, 3)",clean_steeming_lemmatization,0.88,0.77
LR2,tfidf,100,"(1, 3)",clean_steeming_lemmatization,0.9,0.8
RF,tfidf,100,"(1, 3)",clean_steeming_lemmatization,0.94,0.9
XGB,tfidf,100,"(1, 3)",clean_steeming_lemmatization,0.9,0.82
NB,tfidf,200,"(1, 1)",clean,0.86,0.91
SVMR,tfidf,200,"(1, 1)",clean,0.5,0.0
SVML,tfidf,200,"(1, 1)",clean,0.92,0.85
LR1,tfidf,200,"(1, 1)",clean,0.87,0.75
LR2,tfidf,200,"(1, 1)",clean,0.88,0.77
RF,tfidf,200,"(1, 1)",clean,0.95,0.91
XGB,tfidf,200,"(1, 1)",clean,0.89,0.79
NB,tfidf,200,"(1, 1)",clean_steeming,0.87,0.91
SVMR,tfidf,200,"(1, 1)",clean_steeming,0.5,0.0
SVML,tfidf,200,"(1, 1)",clean_steeming,0.94,0.9
LR1,tfidf,200,"(1, 1)",clean_steeming,0.88,0.77
LR2,tfidf,200,"(1, 1)",clean_steeming,0.9,0.8
RF,tfidf,200,"(1, 1)",clean_steeming,0.95,0.91
XGB,tfidf,200,"(1, 1)",clean_steeming,0.89,0.8
NB,tfidf,200,"(1, 1)",clean_lemmatization,0.86,0.91
SVMR,tfidf,200,"(1, 1)",clean_lemmatization,0.5,0.0
SVML,tfidf,200,"(1, 1)",clean_lemmatization,0.94,0.89
LR1,tfidf,200,"(1, 1)",clean_lemmatization,0.88,0.77
LR2,tfidf,200,"(1, 1)",clean_lemmatization,0.89,0.78
RF,tfidf,200,"(1, 1)",clean_lemmatization,0.96,0.93
XGB,tfidf,200,"(1, 1)",clean_lemmatization,0.89,0.8
NB,tfidf,200,"(1, 1)",clean_steeming_lemmatization,0.87,0.9
SVMR,tfidf,200,"(1, 1)",clean_steeming_lemmatization,0.5,0.0
SVML,tfidf,200,"(1, 1)",clean_steeming_lemmatization,0.94,0.89
LR1,tfidf,200,"(1, 1)",clean_steeming_lemmatization,0.87,0.75
LR2,tfidf,200,"(1, 1)",clean_steeming_lemmatization,0.89,0.79
RF,tfidf,200,"(1, 1)",clean_steeming_lemmatization,0.95,0.92
XGB,tfidf,200,"(1, 1)",clean_steeming_lemmatization,0.89,0.8
NB,tfidf,200,"(1, 2)",clean,0.85,0.9
SVMR,tfidf,200,"(1, 2)",clean,0.5,0.0
SVML,tfidf,200,"(1, 2)",clean,0.92,0.85
LR1,tfidf,200,"(1, 2)",clean,0.87,0.74
LR2,tfidf,200,"(1, 2)",clean,0.88,0.77
RF,tfidf,200,"(1, 2)",clean,0.94,0.91
XGB,tfidf,200,"(1, 2)",clean,0.89,0.79
NB,tfidf,200,"(1, 2)",clean_steeming,0.87,0.91
SVMR,tfidf,200,"(1, 2)",clean_steeming,0.5,0.0
SVML,tfidf,200,"(1, 2)",clean_steeming,0.94,0.9
LR1,tfidf,200,"(1, 2)",clean_steeming,0.89,0.78
LR2,tfidf,200,"(1, 2)",clean_steeming,0.9,0.8
RF,tfidf,200,"(1, 2)",clean_steeming,0.95,0.92
XGB,tfidf,200,"(1, 2)",clean_steeming,0.9,0.81
NB,tfidf,200,"(1, 2)",clean_lemmatization,0.86,0.91
SVMR,tfidf,200,"(1, 2)",clean_lemmatization,0.5,0.0
SVML,tfidf,200,"(1, 2)",clean_lemmatization,0.94,0.89
LR1,tfidf,200,"(1, 2)",clean_lemmatization,0.88,0.77
LR2,tfidf,200,"(1, 2)",clean_lemmatization,0.89,0.79
RF,tfidf,200,"(1, 2)",clean_lemmatization,0.96,0.93
XGB,tfidf,200,"(1, 2)",clean_lemmatization,0.89,0.8
NB,tfidf,200,"(1, 2)",clean_steeming_lemmatization,0.87,0.91
SVMR,tfidf,200,"(1, 2)",clean_steeming_lemmatization,0.5,0.0
SVML,tfidf,200,"(1, 2)",clean_steeming_lemmatization,0.94,0.89
LR1,tfidf,200,"(1, 2)",clean_steeming_lemmatization,0.87,0.76
LR2,tfidf,200,"(1, 2)",clean_steeming_lemmatization,0.9,0.8
RF,tfidf,200,"(1, 2)",clean_steeming_lemmatization,0.95,0.92
XGB,tfidf,200,"(1, 2)",clean_steeming_lemmatization,0.89,0.79
NB,tfidf,200,"(1, 3)",clean,0.85,0.9
SVMR,tfidf,200,"(1, 3)",clean,0.5,0.0
SVML,tfidf,200,"(1, 3)",clean,0.92,0.85
LR1,tfidf,200,"(1, 3)",clean,0.87,0.75
LR2,tfidf,200,"(1, 3)",clean,0.88,0.77
RF,tfidf,200,"(1, 3)",clean,0.94,0.9
XGB,tfidf,200,"(1, 3)",clean,0.89,0.79
NB,tfidf,200,"(1, 3)",clean_steeming,0.87,0.91
SVMR,tfidf,200,"(1, 3)",clean_steeming,0.5,0.0
SVML,tfidf,200,"(1, 3)",clean_steeming,0.94,0.89
LR1,tfidf,200,"(1, 3)",clean_steeming,0.89,0.78
LR2,tfidf,200,"(1, 3)",clean_steeming,0.9,0.8
RF,tfidf,200,"(1, 3)",clean_steeming,0.95,0.92
XGB,tfidf,200,"(1, 3)",clean_steeming,0.9,0.81
NB,tfidf,200,"(1, 3)",clean_lemmatization,0.86,0.91
SVMR,tfidf,200,"(1, 3)",clean_lemmatization,0.5,0.0
SVML,tfidf,200,"(1, 3)",clean_lemmatization,0.95,0.9
LR1,tfidf,200,"(1, 3)",clean_lemmatization,0.88,0.77
LR2,tfidf,200,"(1, 3)",clean_lemmatization,0.89,0.79
RF,tfidf,200,"(1, 3)",clean_lemmatization,0.96,0.93
XGB,tfidf,200,"(1, 3)",clean_lemmatization,0.89,0.8
NB,tfidf,200,"(1, 3)",clean_steeming_lemmatization,0.87,0.91
SVMR,tfidf,200,"(1, 3)",clean_steeming_lemmatization,0.5,0.0
SVML,tfidf,200,"(1, 3)",clean_steeming_lemmatization,0.94,0.89
LR1,tfidf,200,"(1, 3)",clean_steeming_lemmatization,0.87,0.76
LR2,tfidf,200,"(1, 3)",clean_steeming_lemmatization,0.9,0.8
RF,tfidf,200,"(1, 3)",clean_steeming_lemmatization,0.95,0.92
XGB,tfidf,200,"(1, 3)",clean_steeming_lemmatization,0.89,0.79
NB,tfidf,400,"(1, 1)",clean,0.89,0.89
SVMR,tfidf,400,"(1, 1)",clean,0.5,0.0
SVML,tfidf,400,"(1, 1)",clean,0.95,0.91
LR1,tfidf,400,"(1, 1)",clean,0.85,0.71
LR2,tfidf,400,"(1, 1)",clean,0.87,0.74
RF,tfidf,400,"(1, 1)",clean,0.95,0.92
XGB,tfidf,400,"(1, 1)",clean,0.88,0.78
NB,tfidf,400,"(1, 1)",clean_steeming,0.87,0.83
SVMR,tfidf,400,"(1, 1)",clean_steeming,0.5,0.0
SVML,tfidf,400,"(1, 1)",clean_steeming,0.95,0.9
LR1,tfidf,400,"(1, 1)",clean_steeming,0.88,0.76
LR2,tfidf,400,"(1, 1)",clean_steeming,0.88,0.77
RF,tfidf,400,"(1, 1)",clean_steeming,0.95,0.91
XGB,tfidf,400,"(1, 1)",clean_steeming,0.89,0.8
NB,tfidf,400,"(1, 1)",clean_lemmatization,0.9,0.89
SVMR,tfidf,400,"(1, 1)",clean_lemmatization,0.5,0.0
SVML,tfidf,400,"(1, 1)",clean_lemmatization,0.94,0.89
LR1,tfidf,400,"(1, 1)",clean_lemmatization,0.89,0.78
LR2,tfidf,400,"(1, 1)",clean_lemmatization,0.88,0.76
RF,tfidf,400,"(1, 1)",clean_lemmatization,0.95,0.92
XGB,tfidf,400,"(1, 1)",clean_lemmatization,0.89,0.79
NB,tfidf,400,"(1, 1)",clean_steeming_lemmatization,0.87,0.83
SVMR,tfidf,400,"(1, 1)",clean_steeming_lemmatization,0.5,0.0
SVML,tfidf,400,"(1, 1)",clean_steeming_lemmatization,0.95,0.9
LR1,tfidf,400,"(1, 1)",clean_steeming_lemmatization,0.88,0.77
LR2,tfidf,400,"(1, 1)",clean_steeming_lemmatization,0.88,0.77
RF,tfidf,400,"(1, 1)",clean_steeming_lemmatization,0.95,0.91
XGB,tfidf,400,"(1, 1)",clean_steeming_lemmatization,0.89,0.8
NB,tfidf,400,"(1, 2)",clean,0.89,0.9
SVMR,tfidf,400,"(1, 2)",clean,0.5,0.0
SVML,tfidf,400,"(1, 2)",clean,0.94,0.89
LR1,tfidf,400,"(1, 2)",clean,0.85,0.71
LR2,tfidf,400,"(1, 2)",clean,0.87,0.75
RF,tfidf,400,"(1, 2)",clean,0.95,0.91
XGB,tfidf,400,"(1, 2)",clean,0.88,0.78
NB,tfidf,400,"(1, 2)",clean_steeming,0.89,0.88
SVMR,tfidf,400,"(1, 2)",clean_steeming,0.5,0.0
SVML,tfidf,400,"(1, 2)",clean_steeming,0.95,0.91
LR1,tfidf,400,"(1, 2)",clean_steeming,0.88,0.76
LR2,tfidf,400,"(1, 2)",clean_steeming,0.88,0.77
RF,tfidf,400,"(1, 2)",clean_steeming,0.95,0.91
XGB,tfidf,400,"(1, 2)",clean_steeming,0.89,0.8
NB,tfidf,400,"(1, 2)",clean_lemmatization,0.9,0.9
SVMR,tfidf,400,"(1, 2)",clean_lemmatization,0.5,0.0
SVML,tfidf,400,"(1, 2)",clean_lemmatization,0.94,0.89
LR1,tfidf,400,"(1, 2)",clean_lemmatization,0.89,0.79
LR2,tfidf,400,"(1, 2)",clean_lemmatization,0.88,0.76
RF,tfidf,400,"(1, 2)",clean_lemmatization,0.96,0.93
XGB,tfidf,400,"(1, 2)",clean_lemmatization,0.9,0.81
NB,tfidf,400,"(1, 2)",clean_steeming_lemmatization,0.89,0.88
SVMR,tfidf,400,"(1, 2)",clean_steeming_lemmatization,0.5,0.0
SVML,tfidf,400,"(1, 2)",clean_steeming_lemmatization,0.95,0.9
LR1,tfidf,400,"(1, 2)",clean_steeming_lemmatization,0.88,0.76
LR2,tfidf,400,"(1, 2)",clean_steeming_lemmatization,0.89,0.78
RF,tfidf,400,"(1, 2)",clean_steeming_lemmatization,0.95,0.91
XGB,tfidf,400,"(1, 2)",clean_steeming_lemmatization,0.89,0.8
NB,tfidf,400,"(1, 3)",clean,0.89,0.88
SVMR,tfidf,400,"(1, 3)",clean,0.5,0.0
SVML,tfidf,400,"(1, 3)",clean,0.93,0.88
LR1,tfidf,400,"(1, 3)",clean,0.85,0.71
LR2,tfidf,400,"(1, 3)",clean,0.87,0.75
RF,tfidf,400,"(1, 3)",clean,0.95,0.91
XGB,tfidf,400,"(1, 3)",clean,0.88,0.78
NB,tfidf,400,"(1, 3)",clean_steeming,0.89,0.88
SVMR,tfidf,400,"(1, 3)",clean_steeming,0.5,0.0
SVML,tfidf,400,"(1, 3)",clean_steeming,0.95,0.91
LR1,tfidf,400,"(1, 3)",clean_steeming,0.88,0.76
LR2,tfidf,400,"(1, 3)",clean_steeming,0.89,0.78
RF,tfidf,400,"(1, 3)",clean_steeming,0.95,0.91
XGB,tfidf,400,"(1, 3)",clean_steeming,0.89,0.8
NB,tfidf,400,"(1, 3)",clean_lemmatization,0.9,0.89
SVMR,tfidf,400,"(1, 3)",clean_lemmatization,0.5,0.0
SVML,tfidf,400,"(1, 3)",clean_lemmatization,0.94,0.89
LR1,tfidf,400,"(1, 3)",clean_lemmatization,0.88,0.77
LR2,tfidf,400,"(1, 3)",clean_lemmatization,0.88,0.76
RF,tfidf,400,"(1, 3)",clean_lemmatization,0.96,0.93
XGB,tfidf,400,"(1, 3)",clean_lemmatization,0.9,0.81
NB,tfidf,400,"(1, 3)",clean_steeming_lemmatization,0.89,0.87
SVMR,tfidf,400,"(1, 3)",clean_steeming_lemmatization,0.5,0.0
SVML,tfidf,400,"(1, 3)",clean_steeming_lemmatization,0.95,0.91
LR1,tfidf,400,"(1, 3)",clean_steeming_lemmatization,0.88,0.77
LR2,tfidf,400,"(1, 3)",clean_steeming_lemmatization,0.88,0.77
RF,tfidf,400,"(1, 3)",clean_steeming_lemmatization,0.95,0.91
XGB,tfidf,400,"(1, 3)",clean_steeming_lemmatization,0.89,0.79
NB,tfidf,500,"(1, 1)",clean,0.92,0.94
SVMR,tfidf,500,"(1, 1)",clean,0.5,0.0
SVML,tfidf,500,"(1, 1)",clean,0.94,0.89
LR1,tfidf,500,"(1, 1)",clean,0.84,0.69
LR2,tfidf,500,"(1, 1)",clean,0.86,0.73
RF,tfidf,500,"(1, 1)",clean,0.95,0.92
XGB,tfidf,500,"(1, 1)",clean,0.88,0.78
NB,tfidf,500,"(1, 1)",clean_steeming,0.89,0.84
SVMR,tfidf,500,"(1, 1)",clean_steeming,0.5,0.0
SVML,tfidf,500,"(1, 1)",clean_steeming,0.96,0.93
LR1,tfidf,500,"(1, 1)",clean_steeming,0.88,0.77
LR2,tfidf,500,"(1, 1)",clean_steeming,0.88,0.77
RF,tfidf,500,"(1, 1)",clean_steeming,0.95,0.91
XGB,tfidf,500,"(1, 1)",clean_steeming,0.88,0.78
NB,tfidf,500,"(1, 1)",clean_lemmatization,0.91,0.9
SVMR,tfidf,500,"(1, 1)",clean_lemmatization,0.5,0.0
SVML,tfidf,500,"(1, 1)",clean_lemmatization,0.95,0.9
LR1,tfidf,500,"(1, 1)",clean_lemmatization,0.88,0.77
LR2,tfidf,500,"(1, 1)",clean_lemmatization,0.88,0.76
RF,tfidf,500,"(1, 1)",clean_lemmatization,0.96,0.93
XGB,tfidf,500,"(1, 1)",clean_lemmatization,0.89,0.8
NB,tfidf,500,"(1, 1)",clean_steeming_lemmatization,0.88,0.83
SVMR,tfidf,500,"(1, 1)",clean_steeming_lemmatization,0.5,0.0
SVML,tfidf,500,"(1, 1)",clean_steeming_lemmatization,0.95,0.9
LR1,tfidf,500,"(1, 1)",clean_steeming_lemmatization,0.87,0.76
LR2,tfidf,500,"(1, 1)",clean_steeming_lemmatization,0.89,0.77
RF,tfidf,500,"(1, 1)",clean_steeming_lemmatization,0.95,0.9
XGB,tfidf,500,"(1, 1)",clean_steeming_lemmatization,0.89,0.8
NB,tfidf,500,"(1, 2)",clean,0.92,0.94
SVMR,tfidf,500,"(1, 2)",clean,0.5,0.0
SVML,tfidf,500,"(1, 2)",clean,0.94,0.89
LR1,tfidf,500,"(1, 2)",clean,0.84,0.69
LR2,tfidf,500,"(1, 2)",clean,0.86,0.73
RF,tfidf,500,"(1, 2)",clean,0.95,0.91
XGB,tfidf,500,"(1, 2)",clean,0.88,0.78
NB,tfidf,500,"(1, 2)",clean_steeming,0.9,0.87
SVMR,tfidf,500,"(1, 2)",clean_steeming,0.5,0.0
SVML,tfidf,500,"(1, 2)",clean_steeming,0.96,0.93
LR1,tfidf,500,"(1, 2)",clean_steeming,0.88,0.76
LR2,tfidf,500,"(1, 2)",clean_steeming,0.89,0.77
RF,tfidf,500,"(1, 2)",clean_steeming,0.95,0.91
XGB,tfidf,500,"(1, 2)",clean_steeming,0.89,0.79
NB,tfidf,500,"(1, 2)",clean_lemmatization,0.91,0.9
SVMR,tfidf,500,"(1, 2)",clean_lemmatization,0.5,0.0
SVML,tfidf,500,"(1, 2)",clean_lemmatization,0.95,0.9
LR1,tfidf,500,"(1, 2)",clean_lemmatization,0.88,0.78
LR2,tfidf,500,"(1, 2)",clean_lemmatization,0.88,0.76
RF,tfidf,500,"(1, 2)",clean_lemmatization,0.96,0.93
XGB,tfidf,500,"(1, 2)",clean_lemmatization,0.88,0.78
NB,tfidf,500,"(1, 2)",clean_steeming_lemmatization,0.9,0.88
SVMR,tfidf,500,"(1, 2)",clean_steeming_lemmatization,0.5,0.0
SVML,tfidf,500,"(1, 2)",clean_steeming_lemmatization,0.95,0.9
LR1,tfidf,500,"(1, 2)",clean_steeming_lemmatization,0.87,0.75
LR2,tfidf,500,"(1, 2)",clean_steeming_lemmatization,0.88,0.76
RF,tfidf,500,"(1, 2)",clean_steeming_lemmatization,0.95,0.91
XGB,tfidf,500,"(1, 2)",clean_steeming_lemmatization,0.88,0.78
NB,tfidf,500,"(1, 3)",clean,0.92,0.94
SVMR,tfidf,500,"(1, 3)",clean,0.5,0.0
SVML,tfidf,500,"(1, 3)",clean,0.94,0.9
LR1,tfidf,500,"(1, 3)",clean,0.85,0.7
LR2,tfidf,500,"(1, 3)",clean,0.86,0.73
RF,tfidf,500,"(1, 3)",clean,0.95,0.92
XGB,tfidf,500,"(1, 3)",clean,0.88,0.78
NB,tfidf,500,"(1, 3)",clean_steeming,0.9,0.87
SVMR,tfidf,500,"(1, 3)",clean_steeming,0.5,0.0
SVML,tfidf,500,"(1, 3)",clean_steeming,0.95,0.9
LR1,tfidf,500,"(1, 3)",clean_steeming,0.88,0.76
LR2,tfidf,500,"(1, 3)",clean_steeming,0.89,0.77
RF,tfidf,500,"(1, 3)",clean_steeming,0.95,0.91
XGB,tfidf,500,"(1, 3)",clean_steeming,0.89,0.79
NB,tfidf,500,"(1, 3)",clean_lemmatization,0.92,0.91
SVMR,tfidf,500,"(1, 3)",clean_lemmatization,0.5,0.0
SVML,tfidf,500,"(1, 3)",clean_lemmatization,0.94,0.89
LR1,tfidf,500,"(1, 3)",clean_lemmatization,0.87,0.75
LR2,tfidf,500,"(1, 3)",clean_lemmatization,0.88,0.76
RF,tfidf,500,"(1, 3)",clean_lemmatization,0.95,0.91
XGB,tfidf,500,"(1, 3)",clean_lemmatization,0.88,0.78
NB,tfidf,500,"(1, 3)",clean_steeming_lemmatization,0.9,0.87
SVMR,tfidf,500,"(1, 3)",clean_steeming_lemmatization,0.5,0.0
SVML,tfidf,500,"(1, 3)",clean_steeming_lemmatization,0.95,0.91
LR1,tfidf,500,"(1, 3)",clean_steeming_lemmatization,0.87,0.74
LR2,tfidf,500,"(1, 3)",clean_steeming_lemmatization,0.88,0.77
RF,tfidf,500,"(1, 3)",clean_steeming_lemmatization,0.95,0.91
XGB,tfidf,500,"(1, 3)",clean_steeming_lemmatization,0.88,0.78
NB,tfidf,800,"(1, 1)",clean,0.92,0.9
SVMR,tfidf,800,"(1, 1)",clean,0.5,0.0
SVML,tfidf,800,"(1, 1)",clean,0.94,0.88
LR1,tfidf,800,"(1, 1)",clean,0.84,0.68
LR2,tfidf,800,"(1, 1)",clean,0.84,0.69
RF,tfidf,800,"(1, 1)",clean,0.95,0.91
XGB,tfidf,800,"(1, 1)",clean,0.89,0.79
NB,tfidf,800,"(1, 1)",clean_steeming,0.88,0.8
SVMR,tfidf,800,"(1, 1)",clean_steeming,0.5,0.0
SVML,tfidf,800,"(1, 1)",clean_steeming,0.95,0.91
LR1,tfidf,800,"(1, 1)",clean_steeming,0.86,0.72
LR2,tfidf,800,"(1, 1)",clean_steeming,0.87,0.74
RF,tfidf,800,"(1, 1)",clean_steeming,0.95,0.91
XGB,tfidf,800,"(1, 1)",clean_steeming,0.88,0.78
NB,tfidf,800,"(1, 1)",clean_lemmatization,0.92,0.89
SVMR,tfidf,800,"(1, 1)",clean_lemmatization,0.5,0.0
SVML,tfidf,800,"(1, 1)",clean_lemmatization,0.95,0.9
LR1,tfidf,800,"(1, 1)",clean_lemmatization,0.85,0.7
LR2,tfidf,800,"(1, 1)",clean_lemmatization,0.86,0.73
RF,tfidf,800,"(1, 1)",clean_lemmatization,0.96,0.92
XGB,tfidf,800,"(1, 1)",clean_lemmatization,0.9,0.81
NB,tfidf,800,"(1, 1)",clean_steeming_lemmatization,0.88,0.81
SVMR,tfidf,800,"(1, 1)",clean_steeming_lemmatization,0.5,0.0
SVML,tfidf,800,"(1, 1)",clean_steeming_lemmatization,0.95,0.91
LR1,tfidf,800,"(1, 1)",clean_steeming_lemmatization,0.86,0.72
LR2,tfidf,800,"(1, 1)",clean_steeming_lemmatization,0.87,0.75
RF,tfidf,800,"(1, 1)",clean_steeming_lemmatization,0.95,0.91
XGB,tfidf,800,"(1, 1)",clean_steeming_lemmatization,0.88,0.78
NB,tfidf,800,"(1, 2)",clean,0.93,0.92
SVMR,tfidf,800,"(1, 2)",clean,0.5,0.0
SVML,tfidf,800,"(1, 2)",clean,0.94,0.89
LR1,tfidf,800,"(1, 2)",clean,0.84,0.68
LR2,tfidf,800,"(1, 2)",clean,0.85,0.71
RF,tfidf,800,"(1, 2)",clean,0.95,0.9
XGB,tfidf,800,"(1, 2)",clean,0.88,0.78
NB,tfidf,800,"(1, 2)",clean_steeming,0.91,0.87
SVMR,tfidf,800,"(1, 2)",clean_steeming,0.5,0.0
SVML,tfidf,800,"(1, 2)",clean_steeming,0.96,0.92
LR1,tfidf,800,"(1, 2)",clean_steeming,0.86,0.72
LR2,tfidf,800,"(1, 2)",clean_steeming,0.88,0.76
RF,tfidf,800,"(1, 2)",clean_steeming,0.95,0.92
XGB,tfidf,800,"(1, 2)",clean_steeming,0.88,0.79
NB,tfidf,800,"(1, 2)",clean_lemmatization,0.93,0.91
SVMR,tfidf,800,"(1, 2)",clean_lemmatization,0.5,0.0
SVML,tfidf,800,"(1, 2)",clean_lemmatization,0.95,0.9
LR1,tfidf,800,"(1, 2)",clean_lemmatization,0.85,0.72
LR2,tfidf,800,"(1, 2)",clean_lemmatization,0.87,0.73
RF,tfidf,800,"(1, 2)",clean_lemmatization,0.95,0.91
XGB,tfidf,800,"(1, 2)",clean_lemmatization,0.88,0.78
NB,tfidf,800,"(1, 2)",clean_steeming_lemmatization,0.9,0.85
SVMR,tfidf,800,"(1, 2)",clean_steeming_lemmatization,0.5,0.0
SVML,tfidf,800,"(1, 2)",clean_steeming_lemmatization,0.95,0.91
LR1,tfidf,800,"(1, 2)",clean_steeming_lemmatization,0.86,0.73
LR2,tfidf,800,"(1, 2)",clean_steeming_lemmatization,0.88,0.77
RF,tfidf,800,"(1, 2)",clean_steeming_lemmatization,0.95,0.9
XGB,tfidf,800,"(1, 2)",clean_steeming_lemmatization,0.88,0.78
NB,tfidf,800,"(1, 3)",clean,0.94,0.94
SVMR,tfidf,800,"(1, 3)",clean,0.5,0.0
SVML,tfidf,800,"(1, 3)",clean,0.93,0.88
LR1,tfidf,800,"(1, 3)",clean,0.84,0.69
LR2,tfidf,800,"(1, 3)",clean,0.86,0.72
RF,tfidf,800,"(1, 3)",clean,0.95,0.91
XGB,tfidf,800,"(1, 3)",clean,0.89,0.79
NB,tfidf,800,"(1, 3)",clean_steeming,0.9,0.84
SVMR,tfidf,800,"(1, 3)",clean_steeming,0.5,0.0
SVML,tfidf,800,"(1, 3)",clean_steeming,0.95,0.91
LR1,tfidf,800,"(1, 3)",clean_steeming,0.86,0.73
LR2,tfidf,800,"(1, 3)",clean_steeming,0.87,0.75
RF,tfidf,800,"(1, 3)",clean_steeming,0.95,0.9
XGB,tfidf,800,"(1, 3)",clean_steeming,0.88,0.78
NB,tfidf,800,"(1, 3)",clean_lemmatization,0.92,0.91
SVMR,tfidf,800,"(1, 3)",clean_lemmatization,0.5,0.0
